label,area,center_row,center_col,nw_col,nw_row,se_col,se_row
1,542.0,13.4704797048,17.4132841328,2,4,25,31
2,461.0,14.0195227766,98.9587852495,2,86,27,111
3,523.0,15.6080305927,233.021032505,2,221,28,246
4,525.0,14.7847619048,125.072380952,3,112,27,138
5,508.0,14.7874015748,152.224409449,3,140,27,165
6,537.0,15.3463687151,179.09310987,3,166,28,192
7,550.0,15.3036363636,206.376363636,3,194,28,219
8,588.0,16.1428571429,260.513605442,4,248,29,273
9,591.0,40.2081218274,17.269035533,26,4,54,31
10,474.0,40.4662447257,98.0801687764,27,86,54,111
11,514.0,41.0428015564,124.89688716,28,112,54,138
12,513.0,41.432748538,151.730994152,28,139,54,165
13,539.0,41.1298701299,44.46567718,29,32,54,59
14,470.0,41.2361702128,70.7659574468,29,60,54,84
15,510.0,41.8862745098,178.703921569,30,166,54,192
16,520.0,42.0326923077,205.563461538,30,193,54,219
17,569.0,41.8717047452,232.521968366,30,220,54,246
18,515.0,42.2097087379,259.782524272,30,247,54,273
19,533.0,67.4896810507,16.8592870544,55,4,81,30
20,491.0,67.8431771894,44.0977596741,56,32,81,58
21,499.0,67.8136272545,70.3426853707,56,59,81,83
22,519.0,68.387283237,97.3834296724,56,85,81,110
23,520.0,68.2846153846,124.2,56,111,81,137
24,531.0,68.5367231638,151.097928437,56,138,81,164
25,520.0,68.6076923077,178.340384615,57,166,81,191
26,526.0,68.8992395437,205.087452471,57,192,81,218
27,536.0,69.0559701493,232.888059701,57,220,81,245
28,576.0,68.8142361111,259.029513889,57,246,81,272
29,536.0,93.4496268657,16.1735074627,82,3,105,30
30,528.0,93.9583333333,43.5909090909,82,31,106,57
31,486.0,94.4300411523,97.2016460905,82,85,106,110
32,543.0,94.7992633517,150.878453039,82,138,107,164
33,587.0,95.1482112436,204.814310051,82,192,108,218
34,502.0,94.6892430279,231.717131474,82,219,108,245
35,576.0,95.1059027778,259.909722222,82,247,109,272
36,505.0,94.8732673267,124.033663366,83,111,107,137
37,530.0,95.520754717,177.922641509,83,165,108,191
38,112.0,101.357142857,69.1964285714,96,61,106,80
39,617.0,121.025931929,15.9854132901,106,3,135,30
40,544.0,121.693014706,43.0588235294,109,31,135,57
41,548.0,121.797445255,69.4288321168,109,57,135,83
42,520.0,121.963461538,97.0480769231,110,85,135,110
43,535.0,122.228037383,123.66728972,110,111,135,137
44,598.0,122.265886288,150.590301003,110,138,135,164
45,596.0,122.417785235,177.458053691,110,165,135,191
46,536.0,122.990671642,230.854477612,111,219,135,245
47,531.0,123.517890772,258.757062147,112,246,135,272
48,362.0,124.497237569,202.417127072,114,192,135,214
49,614.0,147.899022801,15.4706840391,136,2,161,29
50,547.0,148.586837294,69.1901279707,136,57,162,82
51,534.0,148.683520599,96.4157303371,136,84,162,109
52,580.0,148.972413793,122.582758621,136,111,162,136
53,531.0,148.84180791,177.129943503,136,164,162,190
54,620.0,148.877419355,230.829032258,136,218,162,244
55,578.0,148.778546713,258.416955017,136,246,162,271
56,474.0,149.073839662,150.717299578,137,139,162,163
57,513.0,149.148148148,204.563352827,138,193,162,217
58,510.0,174.87254902,15.2411764706,163,3,188,29
59,468.0,175.856837607,42.4444444444,163,31,188,55
60,534.0,175.02247191,68.9887640449,163,57,188,82
61,516.0,175.38372093,96.2073643411,163,84,188,109
62,528.0,175.297348485,123.231060606,163,111,188,136
63,515.0,175.933980583,149.821359223,163,137,188,163
64,459.0,175.588235294,176.315904139,164,165,188,190
65,558.0,175.689964158,203.519713262,164,191,188,217
66,529.0,176.081285444,230.026465028,164,218,188,244
67,511.0,176.455968689,258.084148728,165,246,188,271
68,558.0,201.64516129,14.7078853047,189,2,215,29
69,534.0,201.732209738,41.7041198502,189,30,215,54
70,539.0,202.022263451,68.4248608534,189,55,215,82
71,549.0,202.586520947,95.6193078324,189,83,215,109
72,532.0,202.04887218,122.703007519,189,110,215,136
73,577.0,202.275563258,149.568457539,189,137,215,163
74,526.0,202.699619772,257.642585551,189,245,215,271
75,587.0,202.412265758,176.238500852,190,164,215,190
76,518.0,202.814671815,203.420849421,191,191,215,217
77,408.0,203.075980392,233.110294118,192,223,215,244
78,424.0,226.75,13.766509434,216,2,238,26
79,422.0,227.210900474,42.1611374408,216,31,239,53
80,469.0,227.594882729,68.0319829424,216,56,239,81
81,475.0,227.28,95.8757894737,216,83,239,109
82,472.0,228.326271186,149.788135593,216,138,240,163
83,576.0,228.385416667,176.244791667,216,163,241,190
84,510.0,228.92745098,203.366666667,216,191,241,216
85,559.0,228.134168157,122.11627907,217,109,240,136
86,529.0,229.177693762,230.644612476,218,218,241,244
87,575.0,229.492173913,257.12,218,244,242,271
88,526.0,251.16730038,13.2490494297,239,1,264,28
89,503.0,252.087475149,40.111332008,240,29,265,53
90,527.0,252.631878558,67.2466793169,240,55,265,81
91,500.0,253.058,95.462,240,83,265,108
92,522.0,253.666666667,122.377394636,241,110,266,135
93,531.0,253.566854991,149.49905838,241,137,266,162
94,522.0,254.114942529,176.342911877,242,163,267,189
95,585.0,253.899145299,203.247863248,242,191,267,216
96,533.0,254.324577861,229.74108818,242,217,267,243
97,547.0,254.73857404,256.760511883,243,244,268,270
